Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Institute for Clinical Genetics; TU Dresden,-,1,1,1,"Oct 01, 2015",505632,Germany,DEU
"Department of Medical Genetics, School of Medicine; Tehran University of Medical Sciences",Assertion criteria,1,1,1,"Aug 19, 2016",505323,"Iran, Islamic Republic of",IRN
Toronto General Hospital; University of Toronto,-,1,1,1,"Feb 26, 2016",505724,Canada,CAN
School of Life Sciences; Manipal University,-,1,1,1,"Jun 07, 2016",505781,India,IND
"Central Laboratory; The First Affiliated Hospital, Jinan University",-,1,0,1,"Jan 07, 2014",504798,China,CHN
Medical Genetic Institute of Henan Province; Henan Provincial People’s Hospital,-,1,1,1,"Feb 21, 2017",505825,China,CHN
Department of Molecular and Medical Genetics; Osaka Medical Center for Cancer and Cardiovascular Diseases,-,1,1,1,"Jun 24, 2016",505842,Japan,JPN
Department of Neurology; Children's Hospital of Fudan University,-,1,1,1,"Jul 31, 2014",505256,China,CHN
Faculty of Medicine; Iran University of Medical Sciences (IUMS),-,1,1,1,"Oct 15, 2014",505319,"Iran, Islamic Republic of",IRN
Molecular and pathophysiological bases of cognitive disorders; Institute Imagine,Assertion criteria,1,1,1,"Mar 26, 2015",505390,France,FRA
Institute of Human Genetics; University Hospital of Duesseldorf,-,1,1,1,"Jun 24, 2020",505956,Germany,DEU
GENETICS INSTITUTE; National university of Colombia,-,1,1,1,"Jan 10, 2017",505960,Colombia,COL
Children's Diabetes Center; University of Wisconsin-Madison,Assertion criteria,1,1,1,"Sep 22, 2016",505916,United States,USA
Medical Molecular Genetics; National Research Centre,Assertion criteria,1,1,2,"May 17, 2020",507430,Egypt,EGY
University of Mississippi Medical Center; University of Mississippi,-,1,1,1,"Oct 23, 2015",505603,United States,USA
Centro Hospitalar S Joao; Faculty of Medicine of Porto,-,1,1,1,"Dec 14, 2015",505604,Portugal,PRT
Department of Pediatrics and Developmental Biology; Tokyo Medical and Dental University,Assertion criteria,1,1,1,"Nov 27, 2018",506787,Japan,JPN
Medical Genetics; Spectrum Health,Assertion criteria,1,1,30,"Jan 29, 2020",507367,United States,USA
Institute of Human Genetics; Martin-Luther-Universität Halle-Wittemberg,-,1,1,1,"Dec 01, 2014",505624,Germany,DEU
Geha Laboratory; Boston Childrens Hospital,-,1,1,1,"Dec 03, 2015",505544,United States,USA
Kariminejad-Najmabadi Pathology and Genetics Center; KNPGC,Assertion criteria,1,1,1,"May 30, 2015",505491,"Iran, Islamic Republic of",IRN
Servicio inmunologia; Hospital 12 de Octubre,-,1,1,1,"Sep 08, 2015",505519,Spain,ESP
Human Molecular Genetics Lab; Quaid-i-Azam University,-,1,1,1,"Sep 22, 2015",505540,Spain,ESP
Molecular Genetic Center; Genetaq,-,1,1,1,"Mar 24, 2015",505396,Spain,ESP
Cardiology unit; Meyer University Hospital,Assertion criteria,1,1,1,"Jan 30, 2020",507421,Italy,ITA
Clinical Genetics Laboratory; Skane University Hospital Lund,Assertion criteria,1,1,1,"Dec 16, 2019",507353,Sweden,SWE
Laboratory of Genetic Engineering; National Research Center for Hematology,Assertion criteria,1,1,1,"Feb 13, 2020",507358,Russian Federation,RUS
Prenatal Diagnosis Center; Jiangxi Provincial Maternal and Child Care Hospital,Assertion criteria,1,1,1,"Mar 27, 2020",507481,China,CHN
Center for Genetics and Inherited Diseases; Taibah University,Assertion criteria,1,1,1,"Mar 11, 2020",507484,Saudi Arabia,SAU
"Thrombosis and Haemostasis Unit; Fondazione IRCCS  ""Casa Sollievo della Sofferenza""",-,1,1,1,"Mar 23, 2020",507508,Italy,ITA
Pediatric Neurology; Rutgers New Jersey Medical School,-,1,1,1,"Apr 02, 2020",507506,United States,USA
Quironsalud Teknon Heart Institute; Quironsalud Teknon Hospital,-,1,1,1,"Dec 05, 2019",507331,Spain,ESP
Laboratorio de Medicina Genomica; Instituto Nacional de Rehabilitacion Luis Guillermo Ibarra Ibarra,Assertion criteria,1,1,1,"May 23, 2020",507281,Mexico,MEX
Clinical Cytogenetics Laboratory; London Health Science Centre,Assertion criteria,1,1,4,"Jul 06, 2020",507228,Canada,CAN
Cardiogenetic Laboratory; Instituto Murciano de Investigación Biosanitaria,Assertion criteria,1,1,1,"Sep 24, 2019",507185,Spain,ESP
Institute of Genomic Medicine; Catholic University,-,1,1,1,"Jan 08, 2020",507325,Italy,ITA
Laboratory of Cellular Biochemistry and Molecular Biology; Catholic University,Assertion criteria,1,1,1,"Sep 10, 2019",507186,Italy,ITA
CNRS UMR1283; Université de Lille,-,1,1,1,"Jun 23, 2020",507587,France,FRA
"Department of Pediatrics, Affiliated Hospital of Zunyi Medical College; Zunyi Medical College",Assertion criteria,1,1,1,"Jun 10, 2020",507609,China,CHN
Centro de Registro e Investigacion sobre Anomalias Congenitas; Hospital Civil de Guadalajara Dr. Juan I. Menchaca,-,1,1,1,"Aug 10, 2020",507633,Mexico,MEX
NPCF Sunshine Lab; H. Lee Moffitt Cancer Center and Research Institute,Assertion criteria,1,1,1,"Jul 29, 2020",507666,United States,USA
Myelin Disorders Clinic; Children's Medical Center,Assertion criteria,1,1,1,"Nov 19, 2018",506785,"Iran, Islamic Republic of",IRN
Genetic Services Unit; National Institute of Biomedical Genomics,Assertion criteria,1,1,3,"Nov 27, 2018",506786,India,IND
"Lab of Gastroenterology; College of Medicine, First Affiliate Hospital of Zhejiang University",-,1,1,1,"Oct 25, 2018",506755,China,CHN
"Jianshe Wang Lab, Department of Pediatrics; Jinshan Hospital of Fudan University",-,1,1,1,"Nov 06, 2019",506962,United States,USA
Laboratory of Genetics and Genomics; Institute for Developing Science and Health Initiatives Foundation,Assertion criteria,1,1,1,"Apr 23, 2019",506901,Bangladesh,BGD
Division of Neonatology; National Center for Child Health and Development,-,1,1,1,"Apr 18, 2019",506932,Japan,JPN
Diagnostica di Laboratorio; Fondazione Policlinico Gemelli,-,1,1,1,"Apr 25, 2019",506966,Italy,ITA
Medical Genetics Department; Assistance Publique Hopitaux de Marseille,Assertion criteria,1,1,1,"Apr 19, 2019",506967,United States,USA
Cellular and Molecular Biology Laboratory; University of Campania Luigi Vanvitelli,-,1,1,1,"Jun 25, 2019",507071,United States,USA
Clinical Genetics Laboratory; Emek Medical Center,Assertion criteria,1,1,1,"Oct 29, 2019",507073,Israel,ISR
Department of Psychiatry and Medical Psychology; Medical University Pleven,-,1,1,1,"Jul 29, 2019",507081,Bulgaria,BGR
Laboratory for Population and Evolutionary Genetics; University of Puerto Rico at Mayaguez,Assertion criteria,1,1,1,"Nov 05, 2019",507100,Puerto Rico,PRI
Department of Genetic Research; Imam Abdulrahman Bin Faisal University,-,1,1,1,"Aug 27, 2019",507123,Saudi Arabia,SAU
The Danek Gertner Institute of Human Genetics; Sheba Medical Center,-,1,1,1,"Apr 18, 2018",506556,Israel,ISR
Guangdong Provincial Key Laboratory of South China Structural Heart Disease; Guangdong Cardiovascular Institute,Assertion criteria,1,1,1,"Jun 28, 2018",506536,China,CHN
Institute of Cell Biology and Neurobiology; Charite-Universitaetsmedizin Berlin,Assertion criteria,1,1,1,"Sep 27, 2018",506734,Germany,DEU
Warsaw Genomics; University of Warsaw,Assertion criteria,1,1,1,"Apr 05, 2018",506460,Poland,POL
Functional Genomic Platform; Centre National pour la Recherche Scientifique et Technique,Assertion criteria,1,1,1,"Feb 13, 2020",506564,Morocco,MAR
MK Azim Lab; Mohammad Ali Jinnah University,Assertion criteria,1,1,1,"Oct 03, 2018",506589,Pakistan,PAK
"Laboratorio de Inmunogenómica y enfermedades metabólicas, Instituto Nacional de Medicina Genómica; Instituto Nacional de Medicina Genómica",Assertion criteria,1,1,1,"Jun 04, 2018",506591,Mexico,MEX
Klco Lab; St Judes Childrens Research Hospital,Assertion criteria,1,1,1,"Jul 06, 2018",506624,United States,USA
Bio-informatics Data Center; China National GeneBank,-,1,1,2,"Oct 02, 2018",506728,China,CHN
"Comparative, Adaptive and Functional Skeletal Biology; CCMAR - University of Algarve",-,1,1,1,"Apr 01, 2020",506725,Portugal,PRT
Renal Department; Renmin Hospital of Wuhan University,-,1,1,1,"May 24, 2019",506699,China,CHN
GenHotel - European Research Laboratory for Rheumatoid Arthritis; University of Paris Saclay,-,1,1,1,"Sep 28, 2018",506703,France,FRA
Barrett Group; Wellcome Trust Sanger Institute,Assertion criteria,1,1,1,"Jun 06, 2017",506216,United Kingdom,GBR
Gujarat Genomics Initiative; Gujarat State Biotechnology Mission,-,1,1,1,"Jun 30, 2017",506244,India,IND
Sanfordhealth-Fargo; Sanfordhealth,-,1,1,2,"Mar 29, 2017",506113,United States,USA
Caglayan Lab; Istanbul Bilim University,-,1,1,1,"Jun 07, 2017",506162,Turkey,TUR
Cancer Biology Lab; VIT University,-,1,0,1,"Oct 18, 2017",506369,India,IND
Edmonton Ocular Genetics; Alberta Health Services,-,1,1,1,"Oct 24, 2017",506371,Canada,CAN
Pediatrie Multidisciplinaire; Assitance Publique des Hopitaux de Marseille,-,1,1,1,"Sep 19, 2017",506330,United States,USA
"Research Laboratory, University Department of Zoology; Vinoba Bhave University",-,1,1,1,"Mar 19, 2018",506400,India,IND
Histocompatability and Immunogenetics; National Health Service Blood and Transplant,Assertion criteria,1,1,1,"Nov 29, 2017",506401,United Kingdom,GBR
Molecular Genetics Laboratory; State University of Campinas,-,1,1,2,"Aug 31, 2017",506314,Brazil,BRA
"University of Bologna, Medical Genetics Unit; University of Bologna",-,1,1,1,"Mar 21, 2016",505744,Italy,ITA
Centre for Reproductive Medicine and Andrology; University of Münster,-,1,1,1,"Jun 11, 2014",505008,Germany,DEU
Department of Human Genetics; McGill University,-,1,1,1,"Nov 21, 2014",505296,United States,USA
Department of Clinical Science; University of Bergen,-,1,1,1,"Sep 11, 2014",505223,United States,USA
Arnesen Lab; University of Bergen,Assertion criteria,1,1,1,"Jun 10, 2020",507616,Norway,NOR
The Spine Surgery of The First Affiliated Hospital; Sun Yat-sen University,-,1,1,1,"Oct 26, 2017",506368,China,CHN
Zhongshan School of Medicine; Sun Yat-sen University,-,1,1,1,"Feb 03, 2017",506051,China,CHN
Genetic Testing Lab; University of Kentucky College of Medicine,-,1,1,1,"Mar 31, 2015",504830,United States,USA
Ahituv Lab; University of California San Francisco,-,1,1,2,"Apr 01, 2014",504831,United States,USA
Alzheimer's disease and other cognitive disorders unit; Hospital Clínic de Barcelona_IDIBAPS,-,1,1,25,"Feb 24, 2014",504859,Spain,ESP
"Department of Medical Genetics, Zhongshan School of Medicine and Center for Genome Research; Sun Yat-sen University",-,1,1,1,"Apr 28, 2015",505763,United States,USA
Institut national de la santé et de la recherche médicale; INSERM,-,1,1,3,"Nov 19, 2019",507308,France,FRA
Institute of Neurogenomics; Technical University of Munich,-,1,1,1,"Sep 04, 2018",506700,Germany,DEU
Neurogenetics Laboratory; GH Pitie Salpetriere APHP,-,1,1,1,"Mar 29, 2016",505749,France,FRA
"Human Genetics Research Group, DBT; Shri Mata Vaishno Devi University",Assertion criteria,1,1,1,"Jul 28, 2016",505684,India,IND
"Research Center for Immunodeficiencies; Children's Medical Center, Tehran University of Medical Sciences",-,1,1,1,"Jan 16, 2016",505667,"Iran, Islamic Republic of",IRN
BioTalentum Ltd.,Assertion criteria,1,1,1,"Jan 27, 2016",505674,Hungary,HUN
Institute of Human Genetics; LMU University Hospital,-,1,1,2,"Jan 04, 2016",505707,Germany,DEU
"Department of Cardiovascular and Internal Medicine (Kanazawa University, Graduate School of Medicine); Kanazawa University Graduate School of Medicine",-,1,1,1,"May 31, 2016",505799,Japan,JPN
"Deafness research group, Biosystems & Integrative Sciences Institute; University of Lisbon",Assertion criteria,1,1,1,"Mar 21, 2015",505451,Portugal,PRT
Genetech; Genetech Research Institute,-,1,1,1,"Feb 04, 2016",505682,Sri Lanka,LKA
Molecular Genetics Unit; Terrassa Hospital,-,1,0,1,"Dec 20, 2013",504791,Spain,ESP
Lab of Molecular Dermatology; University Medical Center Freiburg,Assertion criteria,1,1,1,"Nov 17, 2016",505995,Germany,DEU
Dustin Baldridge Laboratory; Washington University in St. Louis,-,1,1,14,"Oct 02, 2019",507210,United States,USA
Turner Lab; Washington University in St. Louis,Assertion criteria,1,1,8,"May 22, 2020",507596,United States,USA
"Agency for Science, Technology and Research; Genome Institute of Singapore",Assertion criteria,1,1,1,"Jun 17, 2014",505660,Singapore,SGP
"Department of Pediatrics; 1st Faculty of Medicine, Charles University in Prague",-,1,1,1,"Dec 02, 2014",505662,Czechia,CZE
Max Planck Institute for Molecular Genetics,-,1,1,2,"Nov 30, 2015",505602,Germany,DEU
Thoracic Oncology; University of Hawaii Cancer Center,Assertion criteria,1,1,1,"Oct 20, 2015",505574,United States,USA
Center for Medical Genomics; Jagiellonian University Medical College,-,1,1,1,"Dec 01, 2015",505578,Poland,POL
StellarGene Technologies Pvt. Ltd.,Assertion criteria,1,1,1,"Sep 15, 2017",506294,India,IND
Anoual Laboratory of Radio-Immuno Analysis,Assertion criteria,1,1,1,"Sep 05, 2017",506311,Morocco,MAR
Grupo de Pesquisa Clinica e Molecular em Endocrinologia e Metabologia,-,1,1,1,"Nov 28, 2018",506796,Brazil,BRA
Labor Lademannbogen MVZ GmbH,Assertion criteria,1,1,1,"Feb 10, 2017",506063,Germany,DEU
Biocant - Biotechnology Innovation Center,Assertion criteria,1,1,1,"Jul 06, 2017",506149,Portugal,PRT
"Beijing Mygenostics Co., Ltd.",Assertion criteria,1,1,1,"Aug 29, 2019",507148,China,CHN
Center for Human Genetics Laboratory; University Hospitals - University Hospitals Laboratory Service Foundation,Assertion criteria,1,1,1,"May 10, 2019",1236,United States,USA
ATS GeneTech Pvt Ltd,Assertion criteria,1,1,1,"Jun 10, 2019",507033,India,IND
The Walter and Eliza Hall Institute of Medical Research,-,1,1,1,"Dec 10, 2019",507299,Australia,AUS
Fundacion Diagnosis,Assertion criteria,1,1,1,"May 06, 2020",507526,Chile,CHL
"Neurology IV Unit; Fondazione Istituto Neurologico ""Carlo Besta""",-,1,1,1,"Aug 08, 2014",500282,Italy,ITA
The Institute of Human Genetics; Galilee Medical Center,-,1,0,1,"Jul 03, 2014",505114,Israel,ISR
Molecular Laboratory of the Institute of Human Genetics; Galilee Medical Center,-,1,1,1,"Jun 16, 2017",506237,Israel,ISR
Pediatrics Research Institute; Children's Hospital of Fudan University,-,1,1,1,"Sep 15, 2016",505921,China,CHN
"Personalis, Inc.",-,1,1,1,"Nov 20, 2014",507577,United States,USA
MNM Diagnostics,Assertion criteria,1,1,1,"Sep 02, 2020",507622,Poland,POL
Genoks Genetic Disorders Diagnostic Laboratory,-,1,1,1,"Aug 04, 2020",507690,Turkey,TUR
Faculty of Health Sciences-Genetics Diagnosis Lab; Islamic University of Gaza,-,1,1,1,"Apr 18, 2014",504844,"Palestine, State of",PSE
MAGIC Laboratory; Stellenbosch University,Assertion criteria,1,1,1,"May 04, 2020",507559,South Africa,ZAF
Institute of Reproductive and Child Health; Peking University,-,1,1,3,"Apr 25, 2019",506980,China,CHN
McDonald Lab; Albert Einstein College of Medicine,-,1,1,1,"Nov 15, 2014",505275,United States,USA
Section on Translational Neuroscience; Molecular Medicine Program; NICHD; National Institutes of Health,-,1,1,2,"Jul 01, 2014",505099,United States,USA
"Children’s Hospital, Clinical research laboratory; Medizinische Fakultaet Carl Gustav Carus, Technische Universitaet Dresden",-,1,1,2,"Mar 12, 2019",506847,Germany,DEU
Medical Genetics; American University of Beirut,Assertion criteria,1,1,1,"Dec 19, 2018",506809,Lebanon,LBN
Immunology Clinic; UCLA,-,1,1,1,"Aug 30, 2018",506702,United States,USA
Dept of Medical Genetics; Shandong University,-,1,1,1,"Dec 18, 2013",504793,China,CHN
Zi-Jiang Chen Lab; Shandong University,-,1,1,1,"Sep 07, 2017",506287,China,CHN
Pharmacogenetics and Inflammatory Diseases Research Group; University of Otago,-,1,0,1,"Jan 14, 2014",504804,New Zealand,NZL
Neurogenetics Department; Cyprus Institute of Neurology and Genetics,-,1,1,2,"Jun 20, 2019",78596,Cyprus,CYP
Biochemical Genetics Department; Cyprus Institute of Neurology and Genetics,Assertion criteria,1,1,2,"Aug 27, 2019",507101,Cyprus,CYP
Osteogenesis Imperfecta Variant Database (SP7); University of Leicester,-,1,0,1,"Feb 21, 2011",500022,United Kingdom,GBR
The Fourth Military Medical University; School of Stomatology,-,1,1,2,"Feb 01, 2019",506867,China,CHN
Prenatal Diagnostic Center; Guangzhou Women and Children's Medical Center,Assertion criteria,1,1,1,"Apr 12, 2019",506922,China,CHN
Pediatric Neurology; Northwest Women’s and Children’s Hospital,-,1,1,1,"Apr 11, 2019",506910,China,CHN
"National Institute for Data Science in Health and Medicine, School of Medicine; Xiamen university",Assertion criteria,1,1,1,"Oct 10, 2019",507168,China,CHN
UOSA Diagnostica Molecolare e Genomica; IRCCS Policlinico Agostino Gemelli,-,1,1,1,"Apr 11, 2019",506963,Italy,ITA
School of Basic Medicine; Fourth Military Medical University,Assertion criteria,1,1,1,"Sep 20, 2017",506240,China,CHN
Department of Ophthalmology; Fourth Military Medical University,-,1,1,1,"Apr 04, 2019",506930,China,CHN
"Molecular Diagnostics, Microbiology, Virology, Parasitology and Genetics; Sofia University, St. Kliment Ohridski",Assertion criteria,1,1,1,"Nov 05, 2019",507053,Bulgaria,BGR
"Molecular Genetics Laboratory, Faculty of Medicine Siriraj Hospital; Mahidol University",Assertion criteria,1,1,1,"Aug 22, 2019",507064,Thailand,THA
Molecular Metabolic laboratory; Sheba Medical Center  Tel-Hashomer,-,1,1,1,"Nov 18, 2015",505554,Israel,ISR
Department of Medicine; c/o University of Cambridge,-,1,1,1,"Sep 10, 2013",500174,United Kingdom,GBR
Biesecker Lab Rare Disease; National Institutes of Health,Assertion criteria,1,1,1,"Apr 25, 2019",506981,United States,USA
dbVar; National Center for Biotechnology Information (NCBI),-,1,1,,"Mar 31, 2019",500102,United States,USA
Division of Genome Diagnostics; Radboud University Medical Centre ,Assertion criteria,1,1,1,"Apr 08, 2019",506953,Netherlands,NLD
Poduri Lab; Boston Children's Hospital,-,1,1,1,"Dec 17, 2018",506824,United States,USA
Sankaran Lab; Boston Children's Hospital,-,1,1,1,"Dec 25, 2015",505695,United States,USA
Clinical Molecular Diagnostic Laboratory; City of Hope National Medical Center,Assertion criteria,1,1,1,"Jan 22, 2019",1082,United States,USA
Community Genetics; University of British Columbia,-,1,0,1,"Jun 22, 2011",500162,Canada,CAN
Centre for Molecular Medicine and Therapeutics; University of British Columbia,Assertion criteria,1,1,1,"Apr 09, 2016",505767,United States,USA
MS Genetics Lab; University of British Columbia,-,1,1,1,"May 09, 2016",505791,Canada,CAN
Murat Gunel Laboratory; Yale University,-,1,1,1,"Jun 17, 2019",506258,United States,USA
Department of Genetics; Yale University,Assertion criteria,1,1,1,"Sep 24, 2015",505541,United States,USA
Endocrine oncology group; Uppsala University,-,1,1,1,"Jun 12, 2017",506118,Sweden,SWE
Guangxi Key laboratory of Metabolic Diseases Research; Guilin 181st Hospital,-,1,1,1,"Jul 27, 2013",500128,China,CHN
Department of Genetics; Osmania University,-,1,1,1,"Aug 15, 2013",500138,India,IND
Istenhegyi Gendiagnosztika Kft,Assertion criteria,1,1,1,"Sep 12, 2017",506323,Hungary,HUN
"Emory University School of Medicine, Department of Human Genetics; Emory University",Assertion criteria,1,1,1,"Sep 14, 2017",506321,United States,USA
Molecular Diagnostics Laboratory; Hospital Sainte-Justine,-,1,1,1,"Sep 22, 2014",115612,Canada,CAN
Amyloidosis Center; Boston University School of Medicine,-,1,1,1,"Jun 08, 2018",506514,United States,USA
"Gahl Group, Medical Genetics Branch, National Human Genome Research Institute; National Institutes of Health",Assertion criteria,1,1,1,"Oct 14, 2015",505551,United States,USA
"Foundation Medicine, Inc.",-,1,1,1,"Sep 21, 2016",505492,United States,USA
Clinic of Pediatric and Adolescent Medicine,-,1,1,1,"Nov 22, 2010",504838,Germany,DEU
University of Washington School of Medicine,-,1,1,1,"May 02, 2014",504823,United States,USA
LACE Laboratorios,Assertion criteria,1,1,1,"Jan 23, 2020",507222,Argentina,ARG
DNA Laboratuvarlari GHTM,Assertion criteria,1,1,1,"Sep 13, 2018",506654,Turkey,TUR
Dr Goodarzi Genetics and Genomics Lab,-,1,1,1,"Mar 04, 2019",506788,"Iran, Islamic Republic of",IRN
Swiss DNAlysis,Assertion criteria,1,1,1,"Feb 14, 2020",506855,Switzerland,CHE
Laboratory for Animal Genetics; Ghent University,Assertion criteria,1,1,1,"May 20, 2015",506374,Belgium,BEL
Dipartimento di Medicina Molecolare e Biotecnologie Mediche; Federico II University of Naples,-,1,1,18,"Jul 11, 2016",505852,Italy,ITA
Medical Genetics Laboratory; University of Pavia,-,1,0,2,"Mar 14, 2018",506501,United States,USA
Institute of Molecular Biology and Genetics; National Academy of Sciences of Ukraine,-,1,1,1,"Aug 04, 2020",507656,Ukraine,UKR
Laboratorio de Biomedicina; Instituto de Biotecnología de Misiones,-,1,1,2,"May 17, 2016",505795,Argentina,ARG
Inherited Metabolic Diseases Molecular Laboratory; University of Cape Town / National Health Laboratory Services,-,1,1,1,"Jun 17, 2016",505808,South Africa,ZAF
Department of Medical Biochemistry and Genetics; University of Turku,-,1,1,8,"May 31, 2016",505830,United States,USA
Laboratory of Molecular Pathology; Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,Assertion criteria,1,1,1,"Sep 05, 2017",506313,Italy,ITA
Molecular Diagnostics Lab; GoPath Laboratories,-,1,1,1,"Oct 15, 2016",505965,United States,USA
Cytogenomics Laboratory; University of Sao Paulo,Assertion criteria,1,1,25,"Jan 21, 2020",507287,Brazil,BRA
Kowloon West Cluster Laboratory Genetic Service; Princess Margaret Hospital,Assertion criteria,1,1,2,"Nov 15, 2019",507297,Hong Kong,HKG
Center for Reproductive Medicine; University of Science and Technology of China,Assertion criteria,1,1,1,"Dec 05, 2019",507324,China,CHN
Research Center for Genetics and Reproductive Health; Viet Nam National University HCMC,Assertion criteria,1,1,2,"Feb 19, 2020",507442,Viet Nam,VNM
Centre for translational and clinical research; Clinical hospital centre Zagreb,-,1,1,1,"Feb 24, 2020",507450,Croatia,HRV
Epilepsy and Neurogenetic Laboratory; Kaohsiung Chang Gung Memorial Hospital,Assertion criteria,1,1,2,"Mar 17, 2020",507463,"Taiwan, Province of China",TWN
Institute of Clinical Laboratory Science; Nanjing University Affiliated Jinling Hospital,-,1,1,1,"Apr 20, 2020",507480,China,CHN
DESAM Institute; Near East University,-,1,1,1,"May 15, 2020",507499,Cyprus,CYP
"Laboratory of Human Genetics, UPO; University of Eastern Piedmont",Assertion criteria,1,1,1,"Jul 10, 2020",507515,Italy,ITA
Department of Neurology; National Cerebral and Cardiovascular Center,Assertion criteria,1,1,1,"Jul 06, 2020",507380,Japan,JPN
Beijing Children’s hospital; National Center for Children’s Health,Assertion criteria,1,1,1,"May 02, 2020",507545,China,CHN
"Institute of Clinical Chemistry and Institute of Clinical Molecular Biology; University Hospital Schleswig-Holstein, Campus Kiel",Assertion criteria,1,1,1,"Jul 13, 2020",507164,Germany,DEU
"Cardiology Department; Xiangya Hospital, Central South University",-,1,1,1,"Aug 07, 2019",507121,China,CHN
College of Medicine Research Centre; King Saud Univeristy,Assertion criteria,1,1,1,"Aug 22, 2019",507129,Saudi Arabia,SAU
Cancer medicine; Gaomi People's Hospital,-,1,1,2,"Nov 14, 2019",507133,China,CHN
Clinical Laboratory; New York Genome Center,-,1,1,1,"Aug 09, 2019",507135,United States,USA
Laboratory of Molecular Genetics; Montpellier University Hospital,-,1,1,1,"Jun 05, 2019",507037,France,FRA
Cytoplasmic Inheritance Laboratory; Institute of Genetics and Cytology,-,1,1,1,"Jun 28, 2019",507052,Belarus,BLR
Genomic Diagnostics Laboratory; National Institute of Medical Genomics,Assertion criteria,1,1,1,"Aug 06, 2019",507106,Mexico,MEX
Laboratory of Clinical and Experimental Pathology; Xuzhou Medical University,-,1,1,1,"Aug 01, 2019",507091,China,CHN
Palladino Lab; Pittsburgh Institute for Neurodegenerative Disease,-,1,1,1,"May 13, 2019",506882,United States,USA
Centro de Estudios en Salud; Universidad de Narino,Assertion criteria,1,1,1,"Nov 05, 2019",506891,Colombia,COL
Department of Molecular Innovation in Lipidology; National Cerebral & Cardiovascular Center Reseach Institute,Assertion criteria,1,1,1,"Jan 08, 2019",506830,Japan,JPN
Genetics and Metabolism Laboratory; Children Hospital Zhejiang University School of Medicine,-,1,1,2,"Jan 14, 2019",506843,China,CHN
"Department of Neurology; The Third Xiangya Hospital, Central South University",Assertion criteria,1,1,1,"Jan 25, 2019",506846,China,CHN
"Department of Human Anatomy, Histology and Embryology;Department of Pathology; Peking University Health Science Center",-,1,1,1,"Feb 04, 2019",506856,China,CHN
Neurology; Jichi Medical University,Assertion criteria,1,1,1,"Apr 11, 2019",506956,Japan,JPN
Developmental Disorders Research; Mater Research,Assertion criteria,1,1,1,"Apr 08, 2019",506934,Australia,AUS
Molecular Genetics Center; Sichuan Provincial People's Hospital,-,1,1,1,"Apr 22, 2019",506948,China,CHN
"UCSD Department of Pediatrics; University of California, San Diego",-,1,1,1,"May 08, 2019",506983,United States,USA
Central Laboratory; The First Hospital of Lanzhou University,Assertion criteria,1,1,47,"Jul 07, 2020",507509,China,CHN
Liver Center; Tokai University School of Medicine,Assertion criteria,1,1,1,"Aug 10, 2020",507613,Japan,JPN
Department of Pediatrics; Prince of Songkla University,Assertion criteria,1,1,1,"Aug 19, 2020",507615,Thailand,THA
Molecular Section; Niloo Genom lab,-,1,1,1,"Sep 04, 2020",507629,"Iran, Islamic Republic of",IRN
Dr Sami Ulus Medical Genetics Department; Dr Sami Ulus Training and Research Hospital for Maternity and Children's Health and Diseases,-,1,1,1,"Feb 03, 2020",507416,Turkey,TUR
Internal Medicine; University of Pretoria,Assertion criteria,1,1,2,"Apr 28, 2020",507451,South Africa,ZAF
Research Unit for Molecular Medicine; Aarhus University and Aarhus University Hospital,-,1,1,1,"Mar 02, 2020",507478,Denmark,DNK
"Inborn Errors of Metabolism; Hospital Clinic, IDIBAPS, CIBERER",-,1,1,1,"Apr 28, 2020",507543,Spain,ESP
Unidad de Genetica; Hospital Roberto del Rio,Assertion criteria,1,1,1,"May 19, 2020",507549,Chile,CHL
"Unit of Medical Genetics, Department  of Laboratory Medicine; San Giovanni Calibita Fatebenefratelli Hospital",Assertion criteria,1,1,1,"Jun 11, 2020",507560,Italy,ITA
Ro'ya Specialized Medical Laboratories; King Abdulaziz University,Assertion criteria,1,1,1,"Jul 02, 2020",507570,Saudi Arabia,SAU
Laboratorio de Genética; Hospital Universitario Clinico San Cecilio,-,1,1,1,"Nov 01, 2019",507275,Spain,ESP
Neurology Laboratory; National Cheng Kung University Hospital,Assertion criteria,1,1,1,"Nov 26, 2019",507298,"Taiwan, Province of China",TWN
Division of Human Genetics; University Cheikh Anta Diop,Assertion criteria,1,1,1,"Dec 23, 2019",507359,Senegal,SEN
Prenatal Diagnosis Center; Guizhou Provincial People's Hospital,Assertion criteria,1,1,1,"Dec 19, 2019",507334,China,CHN
Division of Respiratory Medicine of Juntendo University; Juntendo University Faculty of Medicine and Graduate School of Medicine,-,1,1,1,"Dec 26, 2019",507239,Japan,JPN
Cardiovascular Medicine; National Cerebral Cardiovascular Center,Assertion criteria,1,1,1,"Nov 01, 2019",507252,Japan,JPN
Medical Genomics Research Department; King Abdullah International Medical Research Center,-,1,1,2,"Feb 24, 2020",507173,Saudi Arabia,SAU
Tan Tock Seng Hospital; National Healthcare Group,Assertion criteria,1,1,1,"Sep 11, 2019",507177,Singapore,SGP
Center for Inherited Cardiovascular Diseases; IRCCS Fondazione Policlinico San Matteo,Assertion criteria,1,1,2,"Jan 06, 2020",507376,Italy,ITA
